selection,src,dst,pair,path
312,h1,h12,h1->h12,s5 -> s8
313,h4,h9,h4->h9,s6 -> s2 -> s7
314,h1,h12,h1->h12,s5 -> s4 -> s8
315,h2,h11,h2->h11,s5 -> s3 -> s8
316,h3,h10,h3->h10,s5 -> s1 -> s8
317,h4,h9,h4->h9,s6 -> s7
318,h2,h11,h2->h11,s5 -> s3 -> s8
319,h1,h12,h1->h12,s5 -> s8
320,h3,h10,h3->h10,s5 -> s2 -> s8
321,h2,h11,h2->h11,s5 -> s4 -> s8
322,h3,h10,h3->h10,s5 -> s1 -> s8
323,h4,h9,h4->h9,s6 -> s2 -> s7
324,h1,h12,h1->h12,s5 -> s3 -> s8
325,h2,h11,h2->h11,s5 -> s8
326,h4,h9,h4->h9,s6 -> s4 -> s7
327,h1,h12,h1->h12,s5 -> s2 -> s8
328,h3,h10,h3->h10,s5 -> s1 -> s8
329,h2,h11,h2->h11,s5 -> s3 -> s8
330,h1,h12,h1->h12,s5 -> s8
331,h4,h9,h4->h9,s6 -> s2 -> s7
332,h3,h10,h3->h10,s5 -> s1 -> s8
333,h1,h12,h1->h12,s5 -> s2 -> s8
334,h3,h10,h3->h10,s5 -> s4 -> s8
335,h2,h11,h2->h11,s5 -> s8
336,h4,h9,h4->h9,s6 -> s3 -> s7
337,h2,h11,h2->h11,s5 -> s1 -> s8
338,h1,h12,h1->h12,s5 -> s3 -> s8
339,h3,h10,h3->h10,s5 -> s8
340,h4,h9,h4->h9,s6 -> s7
341,h3,h10,h3->h10,s5 -> s4 -> s8
342,h4,h9,h4->h9,s6 -> s1 -> s7
343,h2,h11,h2->h11,s5 -> s8
344,h1,h12,h1->h12,s5 -> s3 -> s8
345,h1,h12,h1->h12,s5 -> s2 -> s8
346,h3,h10,h3->h10,s5 -> s1 -> s8
347,h4,h9,h4->h9,s6 -> s7
348,h2,h11,h2->h11,s5 -> s4 -> s8
349,h1,h12,h1->h12,s5 -> s3 -> s8
350,h3,h10,h3->h10,s5 -> s8
351,h2,h11,h2->h11,s5 -> s1 -> s8
352,h4,h9,h4->h9,s6 -> s4 -> s7
353,h3,h10,h3->h10,s5 -> s8
354,h4,h9,h4->h9,s6 -> s1 -> s7
355,h1,h12,h1->h12,s5 -> s4 -> s8
356,h2,h11,h2->h11,s5 -> s2 -> s8
357,h3,h10,h3->h10,s5 -> s3 -> s8
358,h2,h11,h2->h11,s5 -> s1 -> s8
359,h1,h12,h1->h12,s5 -> s4 -> s8
360,h4,h9,h4->h9,s6 -> s7
361,h3,h10,h3->h10,s5 -> s2 -> s8
362,h1,h12,h1->h12,s5 -> s4 -> s8
363,h2,h11,h2->h11,s5 -> s1 -> s8
364,h4,h9,h4->h9,s6 -> s7
365,h3,h10,h3->h10,s5 -> s8
366,h1,h12,h1->h12,s5 -> s3 -> s8
367,h2,h11,h2->h11,s5 -> s2 -> s8
368,h4,h9,h4->h9,s6 -> s1 -> s7
369,h4,h9,h4->h9,s6 -> s4 -> s7
370,h1,h12,h1->h12,s5 -> s8
371,h2,h11,h2->h11,s5 -> s1 -> s8
372,h3,h10,h3->h10,s5 -> s3 -> s8
373,h1,h12,h1->h12,s5 -> s2 -> s8
374,h3,h10,h3->h10,s5 -> s4 -> s8
375,h4,h9,h4->h9,s6 -> s2 -> s7
376,h2,h11,h2->h11,s5 -> s8
377,h2,h11,h2->h11,s5 -> s3 -> s8
378,h1,h12,h1->h12,s5 -> s1 -> s8
379,h3,h10,h3->h10,s5 -> s2 -> s8
380,h4,h9,h4->h9,s6 -> s4 -> s7
381,h2,h11,h2->h11,s5 -> s2 -> s8
382,h3,h10,h3->h10,s5 -> s3 -> s8
383,h1,h12,h1->h12,s5 -> s1 -> s8
384,h4,h9,h4->h9,s6 -> s4 -> s7
385,h4,h9,h4->h9,s6 -> s1 -> s7
386,h2,h11,h2->h11,s5 -> s8
387,h1,h12,h1->h12,s5 -> s4 -> s8
388,h3,h10,h3->h10,s5 -> s3 -> s8
389,h4,h9,h4->h9,s6 -> s4 -> s7
390,h2,h11,h2->h11,s5 -> s2 -> s8
391,h3,h10,h3->h10,s5 -> s1 -> s8
392,h1,h12,h1->h12,s5 -> s4 -> s8
393,h2,h11,h2->h11,s5 -> s8
394,h1,h12,h1->h12,s5 -> s3 -> s8
395,h4,h9,h4->h9,s6 -> s1 -> s7
396,h3,h10,h3->h10,s5 -> s4 -> s8
397,h4,h9,h4->h9,s6 -> s4 -> s7
398,h3,h10,h3->h10,s5 -> s1 -> s8
399,h1,h12,h1->h12,s5 -> s8
400,h2,h11,h2->h11,s5 -> s2 -> s8
401,h1,h12,h1->h12,s5 -> s4 -> s8
402,h2,h11,h2->h11,s5 -> s3 -> s8
403,h3,h10,h3->h10,s5 -> s1 -> s8
404,h4,h9,h4->h9,s6 -> s2 -> s7
405,h2,h11,h2->h11,s5 -> s8
406,h3,h10,h3->h10,s5 -> s2 -> s8
407,h4,h9,h4->h9,s6 -> s4 -> s7
408,h1,h12,h1->h12,s5 -> s1 -> s8
409,h3,h10,h3->h10,s5 -> s4 -> s8
410,h4,h9,h4->h9,s6 -> s1 -> s7
411,h1,h12,h1->h12,s5 -> s8
412,h2,h11,h2->h11,s5 -> s3 -> s8
413,h4,h9,h4->h9,s6 -> s1 -> s7
414,h2,h11,h2->h11,s5 -> s2 -> s8
415,h1,h12,h1->h12,s5 -> s8
416,h3,h10,h3->h10,s5 -> s3 -> s8
417,h1,h12,h1->h12,s5 -> s2 -> s8
418,h3,h10,h3->h10,s5 -> s1 -> s8
419,h2,h11,h2->h11,s5 -> s8
420,h4,h9,h4->h9,s6 -> s4 -> s7
421,h1,h12,h1->h12,s5 -> s4 -> s8
422,h2,h11,h2->h11,s5 -> s3 -> s8
423,h3,h10,h3->h10,s5 -> s1 -> s8
424,h4,h9,h4->h9,s6 -> s2 -> s7
425,h3,h10,h3->h10,s5 -> s8
426,h1,h12,h1->h12,s5 -> s8
427,h2,h11,h2->h11,s5 -> s2 -> s8
428,h4,h9,h4->h9,s6 -> s1 -> s7
429,h2,h11,h2->h11,s5 -> s3 -> s8
430,h1,h12,h1->h12,s5 -> s4 -> s8
431,h3,h10,h3->h10,s5 -> s1 -> s8
432,h4,h9,h4->h9,s6 -> s7
433,h4,h9,h4->h9,s6 -> s2 -> s7
434,h1,h12,h1->h12,s5 -> s1 -> s8
435,h3,h10,h3->h10,s5 -> s8
436,h2,h11,h2->h11,s5 -> s3 -> s8
437,h2,h11,h2->h11,s5 -> s4 -> s8
438,h3,h10,h3->h10,s5 -> s8
439,h4,h9,h4->h9,s6 -> s3 -> s7
440,h1,h12,h1->h12,s5 -> s2 -> s8
441,h1,h12,h1->h12,s5 -> s3 -> s8
442,h4,h9,h4->h9,s6 -> s4 -> s7
443,h2,h11,h2->h11,s5 -> s8
444,h3,h10,h3->h10,s5 -> s1 -> s8
445,h3,h10,h3->h10,s5 -> s2 -> s8
446,h2,h11,h2->h11,s5 -> s8
447,h1,h12,h1->h12,s5 -> s4 -> s8
448,h4,h9,h4->h9,s6 -> s1 -> s7
449,h4,h9,h4->h9,s6 -> s2 -> s7
450,h2,h11,h2->h11,s5 -> s3 -> s8
451,h1,h12,h1->h12,s5 -> s8
452,h3,h10,h3->h10,s5 -> s1 -> s8
453,h1,h12,h1->h12,s5 -> s4 -> s8
454,h3,h10,h3->h10,s5 -> s2 -> s8
455,h4,h9,h4->h9,s6 -> s1 -> s7
456,h2,h11,h2->h11,s5 -> s8
457,h1,h12,h1->h12,s5 -> s1 -> s8
458,h2,h11,h2->h11,s5 -> s3 -> s8
459,h3,h10,h3->h10,s5 -> s8
460,h4,h9,h4->h9,s6 -> s4 -> s7
461,h4,h9,h4->h9,s6 -> s1 -> s7
462,h1,h12,h1->h12,s5 -> s4 -> s8
463,h2,h11,h2->h11,s5 -> s2 -> s8
464,h3,h10,h3->h10,s5 -> s3 -> s8
465,h3,h10,h3->h10,s5 -> s1 -> s8
466,h1,h12,h1->h12,s5 -> s4 -> s8
467,h4,h9,h4->h9,s6 -> s7
468,h2,h11,h2->h11,s5 -> s8
469,h3,h10,h3->h10,s5 -> s3 -> s8
470,h4,h9,h4->h9,s6 -> s1 -> s7
471,h2,h11,h2->h11,s5 -> s1 -> s8
472,h1,h12,h1->h12,s5 -> s4 -> s8
473,h2,h11,h2->h11,s5 -> s8
474,h1,h12,h1->h12,s5 -> s2 -> s8
475,h3,h10,h3->h10,s5 -> s1 -> s8
476,h4,h9,h4->h9,s6 -> s4 -> s7
477,h4,h9,h4->h9,s6 -> s3 -> s7
478,h1,h12,h1->h12,s5 -> s4 -> s8
479,h3,h10,h3->h10,s5 -> s2 -> s8
480,h2,h11,h2->h11,s5 -> s1 -> s8
481,h3,h10,h3->h10,s5 -> s3 -> s8
482,h4,h9,h4->h9,s6 -> s1 -> s7
483,h2,h11,h2->h11,s5 -> s8
484,h1,h12,h1->h12,s5 -> s2 -> s8
485,h3,h10,h3->h10,s5 -> s4 -> s8
486,h1,h12,h1->h12,s5 -> s8
487,h4,h9,h4->h9,s6 -> s2 -> s7
488,h2,h11,h2->h11,s5 -> s3 -> s8
489,h4,h9,h4->h9,s6 -> s1 -> s7
490,h1,h12,h1->h12,s5 -> s2 -> s8
491,h3,h10,h3->h10,s5 -> s8
492,h2,h11,h2->h11,s5 -> s4 -> s8
493,h2,h11,h2->h11,s5 -> s3 -> s8
494,h3,h10,h3->h10,s5 -> s2 -> s8
495,h1,h12,h1->h12,s5 -> s1 -> s8
496,h4,h9,h4->h9,s6 -> s7
497,h3,h10,h3->h10,s5 -> s8
498,h2,h11,h2->h11,s5 -> s1 -> s8
499,h1,h12,h1->h12,s5 -> s3 -> s8
500,h4,h9,h4->h9,s6 -> s4 -> s7
501,h2,h11,h2->h11,s5 -> s1 -> s8
502,h4,h9,h4->h9,s6 -> s2 -> s7
503,h3,h10,h3->h10,s5 -> s4 -> s8
504,h1,h12,h1->h12,s5 -> s2 -> s8
505,h2,h11,h2->h11,s5 -> s8
506,h3,h10,h3->h10,s5 -> s3 -> s8
507,h1,h12,h1->h12,s5 -> s1 -> s8
508,h4,h9,h4->h9,s6 -> s4 -> s7
509,h3,h10,h3->h10,s5 -> s4 -> s8
510,h2,h11,h2->h11,s5 -> s1 -> s8
511,h4,h9,h4->h9,s6 -> s7
512,h1,h12,h1->h12,s5 -> s8
513,h3,h10,h3->h10,s5 -> s2 -> s8
514,h4,h9,h4->h9,s6 -> s1 -> s7
515,h2,h11,h2->h11,s5 -> s3 -> s8
516,h1,h12,h1->h12,s5 -> s8
517,h1,h12,h1->h12,s5 -> s1 -> s8
518,h4,h9,h4->h9,s6 -> s4 -> s7
519,h3,h10,h3->h10,s5 -> s2 -> s8
520,h2,h11,h2->h11,s5 -> s8
521,h3,h10,h3->h10,s5 -> s4 -> s8
522,h4,h9,h4->h9,s6 -> s1 -> s7
523,h1,h12,h1->h12,s5 -> s3 -> s8
524,h2,h11,h2->h11,s5 -> s8
525,h1,h12,h1->h12,s5 -> s2 -> s8
526,h4,h9,h4->h9,s6 -> s1 -> s7
527,h3,h10,h3->h10,s5 -> s3 -> s8
528,h2,h11,h2->h11,s5 -> s3 -> s8
529,h4,h9,h4->h9,s6 -> s1 -> s7
530,h2,h11,h2->h11,s5 -> s4 -> s8
531,h1,h12,h1->h12,s5 -> s1 -> s8
532,h3,h10,h3->h10,s5 -> s2 -> s8
533,h3,h10,h3->h10,s5 -> s4 -> s8
534,h2,h11,h2->h11,s5 -> s1 -> s8
535,h1,h12,h1->h12,s5 -> s8
536,h4,h9,h4->h9,s6 -> s2 -> s7
537,h1,h12,h1->h12,s5 -> s3 -> s8
538,h3,h10,h3->h10,s5 -> s2 -> s8
539,h4,h9,h4->h9,s6 -> s7
540,h2,h11,h2->h11,s5 -> s4 -> s8
541,h2,h11,h2->h11,s5 -> s8
542,h4,h9,h4->h9,s6 -> s1 -> s7
543,h3,h10,h3->h10,s5 -> s2 -> s8
544,h1,h12,h1->h12,s5 -> s3 -> s8
545,h1,h12,h1->h12,s5 -> s4 -> s8
546,h3,h10,h3->h10,s5 -> s1 -> s8
547,h2,h11,h2->h11,s5 -> s8
548,h4,h9,h4->h9,s6 -> s2 -> s7
549,h3,h10,h3->h10,s5 -> s8
550,h4,h9,h4->h9,s6 -> s1 -> s7
551,h2,h11,h2->h11,s5 -> s2 -> s8
552,h1,h12,h1->h12,s5 -> s3 -> s8
553,h4,h9,h4->h9,s6 -> s2 -> s7
554,h2,h11,h2->h11,s5 -> s1 -> s8
555,h3,h10,h3->h10,s5 -> s4 -> s8
556,h1,h12,h1->h12,s5 -> s8
557,h4,h9,h4->h9,s6 -> s1 -> s7
558,h2,h11,h2->h11,s5 -> s3 -> s8
559,h3,h10,h3->h10,s5 -> s8
560,h1,h12,h1->h12,s5 -> s2 -> s8
561,h2,h11,h2->h11,s5 -> s4 -> s8
562,h3,h10,h3->h10,s5 -> s1 -> s8
563,h1,h12,h1->h12,s5 -> s2 -> s8
564,h4,h9,h4->h9,s6 -> s3 -> s7
565,h4,h9,h4->h9,s6 -> s1 -> s7
566,h3,h10,h3->h10,s5 -> s3 -> s8
567,h2,h11,h2->h11,s5 -> s2 -> s8
568,h1,h12,h1->h12,s5 -> s8
569,h3,h10,h3->h10,s5 -> s4 -> s8
570,h2,h11,h2->h11,s5 -> s3 -> s8
571,h4,h9,h4->h9,s6 -> s1 -> s7
572,h1,h12,h1->h12,s5 -> s2 -> s8
573,h3,h10,h3->h10,s5 -> s1 -> s8
574,h2,h11,h2->h11,s5 -> s4 -> s8
575,h4,h9,h4->h9,s6 -> s3 -> s7
576,h1,h12,h1->h12,s5 -> s8
577,h3,h10,h3->h10,s5 -> s1 -> s8
578,h2,h11,h2->h11,s5 -> s3 -> s8
579,h1,h12,h1->h12,s5 -> s2 -> s8
580,h4,h9,h4->h9,s6 -> s4 -> s7
581,h1,h12,h1->h12,s5 -> s1 -> s8
582,h2,h11,h2->h11,s5 -> s4 -> s8
583,h4,h9,h4->h9,s6 -> s1 -> s7
584,h3,h10,h3->h10,s5 -> s8
585,h4,h9,h4->h9,s6 -> s3 -> s7
586,h3,h10,h3->h10,s5 -> s1 -> s8
587,h2,h11,h2->h11,s5 -> s3 -> s8
588,h1,h12,h1->h12,s5 -> s2 -> s8
589,h4,h9,h4->h9,s6 -> s1 -> s7
590,h1,h12,h1->h12,s5 -> s4 -> s8
591,h3,h10,h3->h10,s5 -> s8
592,h2,h11,h2->h11,s5 -> s2 -> s8
593,h4,h9,h4->h9,s6 -> s4 -> s7
594,h2,h11,h2->h11,s5 -> s3 -> s8
595,h1,h12,h1->h12,s5 -> s1 -> s8
596,h3,h10,h3->h10,s5 -> s8
597,h2,h11,h2->h11,s5 -> s2 -> s8
598,h3,h10,h3->h10,s5 -> s3 -> s8
599,h4,h9,h4->h9,s6 -> s4 -> s7
600,h1,h12,h1->h12,s5 -> s1 -> s8
601,h1,h12,h1->h12,s5 -> s1 -> s8
602,h4,h9,h4->h9,s6 -> s7
603,h2,h11,h2->h11,s5 -> s4 -> s8
604,h3,h10,h3->h10,s5 -> s3 -> s8
605,h3,h10,h3->h10,s5 -> s4 -> s8
606,h2,h11,h2->h11,s5 -> s2 -> s8
607,h1,h12,h1->h12,s5 -> s1 -> s8
608,h4,h9,h4->h9,s6 -> s3 -> s7
609,h4,h9,h4->h9,s6 -> s1 -> s7
610,h3,h10,h3->h10,s5 -> s3 -> s8
611,h2,h11,h2->h11,s5 -> s4 -> s8
612,h1,h12,h1->h12,s5 -> s2 -> s8
